保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A2,2415,201602,201903,訪問型独自サービスⅣ・初任・同一,167,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2511,202404,999999,訪問型独自サービス２２,179,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,2511,202104,202403,訪問型独自サービスⅤ,272,1,,,3,,,,2,2,2,,,,,,1,20210401
122374,A2,2511,201910,202103,訪問型独自サービスⅤ,271,1,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,2511,201602,201909,訪問型独自サービスⅤ,270,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2513,201602,201903,訪問型独自サービスⅤ・初任,189,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2514,201910,202103,訪問型独自サービスⅤ・同一,244,1,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,2514,201602,201909,訪問型独自サービスⅤ・同一,243,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2515,201602,201903,訪問型独自サービスⅤ・初任・同一,170,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2621,202404,999999,訪問型独自サービス２３,220,1,,,3,,,,2,1,2,,,,,,1,20240401
122374,A2,2621,202104,202403,訪問型独自サービスⅥ,287,1,,,3,,,,2,1,2,,,,,,1,20210401
122374,A2,2621,201910,202103,訪問型独自サービスⅥ,286,1,,,3,,,,2,1,2,,,,,,1,20191001
122374,A2,2621,201602,201909,訪問型独自サービスⅥ,285,1,,,3,,,,2,1,2,,,,,,1,20160201
122374,A2,2623,201602,201903,訪問型独自サービスⅥ・初任,200,1,,,3,,,,2,1,2,,,,,,1,20160201
122374,A2,2624,201602,202103,訪問型独自サービスⅥ・同一,257,1,,,3,,,,2,1,2,,,,,,1,20160201
122374,A2,2625,201602,201903,訪問型独自サービスⅥ・初任・同一,180,1,,,3,,,,2,1,2,,,,,,1,20160201
122374,A2,1411,202404,999999,訪問型短時間独自サービス,163,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,1411,202104,202403,訪問型短時間独自サービス,167,1,,,3,,,,2,2,2,,,,,,1,20210401
122374,A2,1411,201910,202103,訪問型短時間独自サービス,166,1,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,1411,201602,201909,訪問型短時間独自サービス,165,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1413,201602,201903,訪問型短時間独自サービス・初任,116,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1414,201602,202103,訪問型短時間独自サービス・同一,149,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1415,201602,201903,訪問型短時間独自サービス・初任・同一,104,1,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,C211,202404,999999,訪問型独自高齢者虐待防止未実施減算１１,-12,3,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C220,202404,999999,訪問型独自高齢者虐待防止未実施減算１１日割,-1,2,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C212,202404,999999,訪問型独自高齢者虐待防止未実施減算１２,-23,3,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C213,202404,999999,訪問型独自高齢者虐待防止未実施減算１２日割,-1,2,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C214,202404,999999,訪問型独自高齢者虐待防止未実施減算１３,-37,3,,,3,,,,2,1,2,,,,,,1,20240401
122374,A2,C215,202404,999999,訪問型独自高齢者虐待防止未実施減算１３日割,-1,2,,,3,,,,2,1,2,,,,,,1,20240401
122374,A2,C216,202404,999999,訪問型独自高齢者虐待防止未実施減算２１,-3,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C217,202404,999999,訪問型独自高齢者虐待防止未実施減算２２,-2,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,C218,202404,999999,訪問型独自高齢者虐待防止未実施減算２３,-2,1,,,3,,,,2,1,2,,,,,,1,20240401
122374,A2,C219,202404,999999,訪問型独自高齢者虐待防止未実施減算短時間,-2,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,D211,202504,999999,訪問型独自業務継続計画未策定減算１１,-12,3,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D220,202504,999999,訪問型独自業務継続計画未策定減算１１日割,-1,2,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D212,202504,999999,訪問型独自業務継続計画未策定減算１２,-23,3,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D213,202504,999999,訪問型独自業務継続計画未策定減算１２日割,-1,2,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D214,202504,999999,訪問型独自業務継続計画未策定減算１３,-37,3,,,3,,,,2,1,2,,,,,,1,20250401
122374,A2,D215,202504,999999,訪問型独自業務継続計画未策定減算１３日割,-1,2,,,3,,,,2,1,2,,,,,,1,20250401
122374,A2,D216,202504,999999,訪問型独自業務継続計画未策定減算２１,-3,1,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D217,202504,999999,訪問型独自業務継続計画未策定減算２２,-2,1,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,D218,202504,999999,訪問型独自業務継続計画未策定減算２３,-2,1,,,3,,,,2,1,2,,,,,,1,20250401
122374,A2,D219,202504,999999,訪問型独自業務継続計画未策定減算短時間,-2,1,,,3,,,,2,2,2,,,,,,1,20250401
122374,A2,6001,202104,999999,訪問型独自サービス同一建物減算１,-10,3,,,,,,,2,2,2,,,,,,1,20210401
122374,A2,6003,202404,999999,訪問型独自サービス同一建物減算２,-15,3,,,,,,,2,2,2,,,,,,1,20210401
122374,A2,6002,202404,999999,訪問型独自サービス同一建物減算３,-12,3,,,,,,,2,2,2,,,,,,1,20210401
122374,A2,8000,201602,999999,訪問型独自サービス特別地域加算,15,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8001,201602,999999,訪問型独自サービス特別地域加算日割,15,2,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8002,201602,999999,訪問型独自サービス特別地域加算回数,15,1,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8100,201602,999999,訪問型独自サービス小規模事業所加算,10,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8101,201602,999999,訪問型独自サービス小規模事業所加算日割,10,2,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8102,201602,999999,訪問型独自サービス小規模事業所加算回数,10,1,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8110,201602,999999,訪問型独自サービス中山間地域等提供加算,5,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8111,201602,999999,訪問型独自サービス中山間地域等提供加算日割,5,2,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,8112,201602,999999,訪問型独自サービス中山間地域等提供加算回数,5,1,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,4001,201602,999999,訪問型独自サービス初回加算,200,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,4002,201602,201809,訪問型独自サービス生活機能向上加算,100,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,4003,201810,999999,訪問型独自サービス生活機能向上加算Ⅰ,100,3,,,3,,,,2,2,2,,,,,,1,20181001
122374,A2,4002,201810,999999,訪問型独自サービス生活機能向上加算Ⅱ,200,3,,,3,,,,2,2,2,,,,,,1,20181001
122374,A2,6102,202404,999999,訪問型独自口腔連携強化加算,50,3,,,3,,,,2,2,2,,,,,,1,20240401
